EBS/USD,Emergent BioSolutions_EQUITY_US
IBM/USD,IBM_EQUITY_US
ZAR/JPY,ZAR/JPY_CURRENCY_
ADS.DE/EUR,Adidas_EQUITY_DE
CPGCA/CAD,Crescent Point_EQUITY_CA
ABC/USD,Amerisource_EQUITY_US
ECL/USD,Ecolab_EQUITY_US
MCO/USD,Moody's_EQUITY_US
Accenture/USD,Accenture_EQUITY_US
MCK/USD,McKesson_EQUITY_US
ICE/USD,ICE_EQUITY_US
MCD/USD,McDonald's_EQUITY_US
New Oriental Education & Technology Group Inc/USD,New Oriental Edu&Tech_EQUITY_US
MDT/USD,Medtronic_EQUITY_US
ADP/USD,Automatic Data_EQUITY_US
UDR/USD,United Dominion_EQUITY_US
IBE/EUR,Iberdrola_EQUITY_ES
ADM/USD,Archer-Daniels_EQUITY_US
BCH/BTC,Bitcoin Cash / Bitcoin_CRYPTOCURRENCY_
ADI/USD,Analog Devices_EQUITY_US
MET/USD,Metlife_EQUITY_US
ACAP/EUR,Credit Agricole_EQUITY_FR
UCG/EUR,Unicredit_EQUITY_IT
AEP/USD,American Electric_EQUITY_US
AES/USD,AES_EQUITY_US
AER/USD,Aercap_EQUITY_US
EEM/USD,iShares MSCI Emerging Markets ETF_EQUITY_US
AEM/USD,Agnico Eagle_EQUITY_US
AEO/USD,American Eagle Outfitters_EQUITY_US
AEE/USD,Ameren_EQUITY_US
ACS/EUR,ACS_EQUITY_ES
EFX/USD,Equifax_EQUITY_US
AFL/USD,Aflac_EQUITY_US
YFI/USD,YFI/USD_CRYPTOCURRENCY_
BAL/BTC,BAL/BTC_CRYPTOCURRENCY_
IFF/USD,Intl Flavors & Fragrances_EQUITY_US
EFA/USD,iShares MSCI EAFE ETF_EQUITY_US
MFC/USD,Manulife_EQUITY_US
MGM/USD,MGM_EQUITY_US
MGA/USD,Magna_EQUITY_US
SUCA/CAD,Suncor_EQUITY_CA
UNI/EUR,Unipo_EQUITY_IT
ENI/EUR,Eni_EQUITY_IT
ANA/EUR,Acciona_EQUITY_ES
